date,open,high,low,close,volume,source
2025-06-18,772.6,781.35,772.6,779.73,1000,yfinance
2025-06-19,783.29,783.3,776.21,782.51,1103700,yfinance
2025-06-20,783.63,791.53,780.65,791.53,1100,yfinance
2025-06-23,779.67,784.79,772.91,784.79,1000,yfinance
2025-06-24,796.06,801.34,794.87,800.93,1100,yfinance
2025-06-25,802.92,803.93,793.03,798.21,1200,yfinance
2025-06-26,799.21,799.21,779.72,787.95,900,yfinance
2025-06-27,789.93,790.67,778.6,781.56,900,yfinance
2025-06-30,783.53,784.65,778.58,781.5,800,yfinance
2025-07-01,783.65,788.38,783.29,783.67,1000,yfinance
2025-07-02,784.73,787.11,769.91,782.17,900,yfinance
2025-07-03,785.77,793.61,783.53,793.33,1100,yfinance
2025-07-04,792.65,793.77,775.58,775.8,1100,yfinance
2025-07-07,774.19,779.98,771.46,778.46,1400,yfinance
2025-07-08,779.28,784.37,775.57,784.24,1200,yfinance
2025-07-09,786.33,790.36,783.48,790.36,900,yfinance
2025-07-10,794.64,798.73,792.05,797.7,905100,yfinance
2025-07-11,799.96,805.9,798.83,800.47,1000,yfinance
2025-07-14,802.73,803.1,795.57,799.37,900,yfinance
2025-07-15,800.24,812.91,798.83,812.88,800,yfinance
2025-07-16,810.09,813.19,805.13,812.23,900,yfinance
2025-07-17,814.92,818.27,806.63,818.27,1000,yfinance
2025-07-18,821.58,822.83,815.45,820.67,800,yfinance
2025-07-21,819.84,822.76,817.34,821.69,900,yfinance
2025-07-22,822.33,827.82,808.81,812.97,1000,yfinance
2025-07-23,815.88,815.88,802.3,813.56,900,yfinance
2025-07-24,816.94,819.95,809.26,809.89,900,yfinance
2025-07-25,809.43,810.67,805.83,806.95,700,yfinance
2025-07-28,811.26,811.49,800.76,804.4,700,yfinance
2025-07-29,803.38,807.09,795.67,804.45,600,yfinance
2025-07-30,804.76,809.27,803.34,803.67,800,yfinance
2025-07-31,806.21,809.03,799.51,805.24,800,yfinance
2025-08-01,796.24,796.24,772.66,772.79,800,yfinance
2025-08-04,773.83,786.35,770.35,784.06,700,yfinance
2025-08-05,791.94,801.63,791.94,798.6,700,yfinance
2025-08-06,796.48,803.55,793.85,803.49,700,yfinance
2025-08-07,805.27,806.47,801.7,805.81,800,yfinance
2025-08-08,806.43,812.48,806.43,809.27,800,yfinance
2025-08-11,810.51,813.52,805.9,811.85,900,yfinance
2025-08-12,813.12,820.27,806.84,807.19,1100,yfinance
2025-08-13,816.54,816.66,806.26,814.1,1000,yfinance
2025-08-14,814.48,817.22,812.38,815.26,900,yfinance
2025-08-18,811.52,812.49,798.05,798.05,800,yfinance
2025-08-19,799.54,800.07,785.95,787.96,900,yfinance
2025-08-20,778.63,778.63,766.57,777.61,900,yfinance
2025-08-21,780.32,784.73,776.31,777.24,900,yfinance
2025-08-22,778.77,785.55,778.73,782.51,800,yfinance
2025-08-25,791.66,798.57,791.66,798.02,800,yfinance
2025-08-26,793.99,802.84,793.37,801.66,800,yfinance
2025-08-27,802.57,803.19,797.6,801.72,700,yfinance
2025-08-28,800.49,801.37,797.37,798.43,800,yfinance
2025-08-29,801.96,805.94,795.56,796.91,900,yfinance
2025-09-01,795.3,796.23,782.54,785.0,1100,yfinance
2025-09-02,789.35,794.0,785.3,794.0,1000,yfinance
2025-09-03,793.28,796.92,789.27,796.81,1200,yfinance
2025-09-04,799.53,806.78,799.53,805.42,1300,yfinance
2025-09-05,809.09,811.71,807.2,811.4,1000,yfinance
