date,market,symbol,open,high,low,close,volume,source,updatedAt
2019-08-23,kr,KOSPI,1942.42,1953.85,1940.6,1948.3,381100,yfinance/fdr,2026-08-03T23:05:42
2019-08-26,kr,KOSPI,1915.34,1924.49,1909.92,1916.31,324900,yfinance/fdr,2026-08-03T23:05:42
2019-08-27,kr,KOSPI,1928.98,1937.42,1919.28,1924.6,427000,yfinance/fdr,2026-08-03T23:05:42
2019-08-28,kr,KOSPI,1929.96,1943.62,1926.43,1941.09,284300,yfinance/fdr,2026-08-03T23:05:42
2019-08-29,kr,KOSPI,1943.55,1947.15,1928.49,1933.41,285100,yfinance/fdr,2026-08-03T23:05:42
2019-08-30,kr,KOSPI,1951.66,1971.21,1951.3,1967.79,317700,yfinance/fdr,2026-08-03T23:05:42
2019-09-02,kr,KOSPI,1961.19,1973.25,1958.59,1969.19,262200,yfinance/fdr,2026-08-03T23:05:42
2019-09-03,kr,KOSPI,1966.5,1976.37,1960.15,1965.69,342100,yfinance/fdr,2026-08-03T23:05:42
2019-09-04,kr,KOSPI,1962.43,1988.53,1962.08,1988.53,348700,yfinance/fdr,2026-08-03T23:05:42
2019-09-05,kr,KOSPI,1993.62,2015.39,1992.51,2004.75,488100,yfinance/fdr,2026-08-03T23:05:42
2019-09-06,kr,KOSPI,2016.11,2017.2,2005.69,2009.13,384400,yfinance/fdr,2026-08-03T23:05:42
2019-09-09,kr,KOSPI,2013.38,2029.8,2013.28,2019.55,511800,yfinance/fdr,2026-08-03T23:05:42
2019-09-10,kr,KOSPI,2024.79,2034.28,2021.58,2032.08,504400,yfinance/fdr,2026-08-03T23:05:42
2019-09-11,kr,KOSPI,2043.72,2050.8,2040.04,2049.2,429100,yfinance/fdr,2026-08-03T23:05:42
2019-09-16,kr,KOSPI,2056.26,2062.22,2044.8,2062.22,493500,yfinance/fdr,2026-08-03T23:05:42
2019-09-17,kr,KOSPI,2058.72,2066.33,2055.17,2062.33,508000,yfinance/fdr,2026-08-03T23:05:42
2019-09-18,kr,KOSPI,2064.42,2075.63,2058.52,2070.73,613100,yfinance/fdr,2026-08-03T23:05:42
2019-09-19,kr,KOSPI,2070.53,2089.81,2070.53,2080.35,493000,yfinance/fdr,2026-08-03T23:05:42
2019-09-20,kr,KOSPI,2080.86,2092.37,2077.3,2091.52,589900,yfinance/fdr,2026-08-03T23:05:42
2019-09-23,kr,KOSPI,2087.7,2095.54,2085.6,2091.7,420900,yfinance/fdr,2026-08-03T23:05:42
2019-09-24,kr,KOSPI,2090.19,2101.63,2085.91,2101.04,535800,yfinance/fdr,2026-08-03T23:05:42
2019-09-25,kr,KOSPI,2093.47,2095.27,2072.41,2073.39,651600,yfinance/fdr,2026-08-03T23:05:42
