section,항목,현재가,등락률,상태,테마,관련 뉴스 개수,긍정 뉴스 비율,부정 뉴스 비율,관련 종목,테마 점수,구분,종목명,티커,RSI,MACD 상태,거래량 상태,지지선,저항선,손절가,목표가,손익비,종합점수,뉴스 보조점수,뉴스 반영점수,뉴스 모멘텀,최종판단,매수 후보,주의 신호,데이터 상태,평균매수가,수익률,평가손익,손절가 이탈 여부,익절 구간 접근 여부,현재 대응 의견,언급 횟수,긍정 뉴스,부정 뉴스,평균 중요도,datetime,title,source,summary,ticker,theme,sentiment,importance,url,market,collected_at,momentum,부정/주의 뉴스,시장,섹터,계좌,메모,현재가_숫자,평균매수가_숫자,보유수량,평가금액_숫자,매입금액_숫자,평가손익_숫자,수익률_숫자,종합점수_숫자,손익비_숫자,RSI_숫자,등락률_숫자,지지선_숫자,저항선_숫자,손절가_숫자,목표가_숫자,목표비중_숫자,포트폴리오비중_숫자,추가매수 판단,비중축소 판단,대응 의견,목표 비중,목표 대비 차이,조정 필요 여부,평가금액,포트폴리오 비중
오늘의 매수 후보,,"1,880,000원",+11.51%,,,,,,,,보유,SK하이닉스,000660.KS,97.7,강세,거래량 증가,"996,000원","1,949,000원","976,080원","2,030,400원",0.17,66.7,3.0,69.7,뉴스 모멘텀 긍정,비중 축소 우선,관심 유지,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,"1,880,000원",+11.51%,,,,,,,,보유,SK하이닉스,000660.KS,97.7,강세,거래량 증가,"996,000원","1,949,000원","976,080원","2,030,400원",0.17,66.7,3.0,69.7,뉴스 모멘텀 긍정,비중 축소 우선,관심 유지,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,"285,500원",+6.33%,,,,,,,,관심,삼성전자,005930.KS,82.3,강세,거래량 증가,"198,200원","288,500원","194,236원","308,340원",0.25,64.9,3.0,67.9,뉴스 모멘텀 긍정,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$426.45,-4.17%,,,,,,,,관심,TSLA,TSLA,66.0,강세,거래량 감소,$362.50,$449.16,$355.25,$462.63,0.51,61.7,-5.0,56.7,뉴스 리스크 주의,관망 우위,제외,변동성 주의,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$294.38,+0.58%,,,,,,,,관심,AAPL,AAPL,75.3,강세,거래량 감소,$257.81,$294.90,$252.65,$317.93,0.56,60.9,0.0,60.9,뉴스 영향 중립,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$264.67,-1.61%,,,,,,,,관심,AMZN,AMZN,61.1,약세,거래량 감소,$244.20,$278.56,$239.32,$286.92,0.88,58.2,3.0,61.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$408.35,-1.04%,,,,,,,,관심,MSFT,MSFT,35.3,약세,거래량 감소,$396.73,$433.70,$383.85,$446.71,1.57,57.1,3.0,60.1,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$387.25,-0.36%,,,,,,,,관심,GOOGL,GOOGL,79.2,강세,거래량 감소,$330.90,$402.00,$324.28,$418.23,0.49,56.2,3.0,59.2,뉴스 모멘텀 긍정,관망 우위,제외,비중 축소 검토,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$412.92,-3.62%,,,,,,,,관심,AVGO,AVGO,45.8,약세,거래량 감소,$385.57,$437.68,$377.86,$450.81,1.08,54.7,3.0,57.7,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,"468,000원",-1.78%,,,,,,,,관심,LG에너지솔루션,373220.KS,64.3,약세,보통,"399,000원","493,000원","391,020원","507,790원",0.52,54.2,-5.0,49.2,뉴스 리스크 주의,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
