market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
미국주식,VRT,3,66.6667,0.8779,1.4107,100.0000,0.0000,0.0000,1.4040,이벤트 변동성 미반영,increase_atr_range,keep,lower_tp1_target,0
한국주식,000100,2,100.0000,1.0262,2.9382,100.0000,100.0000,0.0000,-2.1473,손절선 과다 터치,keep,lower_entry_or_widen_stop,lower_tp1_target,5
한국주식,000270,2,0.0000,0.2033,7.4037,100.0000,100.0000,100.0000,-2.5117,방향 예측 실패,increase_atr_range,lower_entry_or_widen_stop,keep,20
한국주식,000660,2,0.0000,1.2719,9.6385,100.0000,100.0000,0.0000,-3.3891,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,000720,2,0.0000,1.1917,9.8390,0.0000,100.0000,0.0000,,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,000990,2,0.0000,1.3693,13.9125,100.0000,0.0000,0.0000,-5.5617,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
한국주식,001440,2,0.0000,0.2593,12.0358,100.0000,100.0000,0.0000,-5.9728,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,003490,2,0.0000,1.3007,6.3945,0.0000,100.0000,0.0000,,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,003670,2,100.0000,0.9296,4.0665,100.0000,100.0000,100.0000,-3.6022,이벤트 변동성 미반영,increase_atr_range,lower_entry_or_widen_stop,keep,10
한국주식,005380,2,0.0000,1.5618,3.8403,100.0000,0.0000,100.0000,7.6349,방향 예측 실패,increase_atr_range,keep,keep,10
