market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at,quote_fallback_price,실시간현재가,current_price_source
us,ASML,ASML,1632.9,1632.9,"$1,632.90",KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1632.9,"$1,632.90",KIS 해외 현재가
us,ASTS,ASTS,105.86,105.86,$105.86,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,105.86,$105.86,KIS 해외 현재가
us,AVAV,AVAV,174.23,174.23,$174.23,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,174.23,$174.23,KIS 해외 현재가
us,AVGO,AVGO,414.14,414.14,$414.14,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,414.14,$414.14,KIS 해외 현재가
us,BBAI,BBAI,4.18,4.18,$4.18,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,4.18,$4.18,KIS 해외 현재가
us,BMNR,BMNR,18.88,18.88,$18.88,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,18.88,$18.88,KIS 해외 현재가
us,BTC-USD,BTC-USD,,,,Finnhub,Finnhub 보조 수신,API 현재가 수신,success,2026-05-26 10:12:37 KST,2026-05-26 10:12:37 KST,,,Finnhub 보조 수신
us,CAT,CAT,879.89,879.89,$879.89,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,879.89,$879.89,KIS 해외 현재가
us,CAVA,CAVA,80.42,80.42,$80.42,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,80.42,$80.42,KIS 해외 현재가
us,CEG,CEG,294.07,294.07,$294.07,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,294.07,$294.07,KIS 해외 현재가
us,CELH,CELH,30.12,30.12,$30.12,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,30.12,$30.12,KIS 해외 현재가
