signalDate,symbol,setup,regime,rsi14,distMa20Pct,entry,grossPnlPct,netPnlPct,outcome,barsHeld,exitDate
2012-12-20,KOSPI,BREAKOUT,BULL,77.5,2.5,2004.61,-0.333,-0.833,LOSS,10,2013-01-08
2012-12-21,KOSPI,BREAKOUT,SIDE,67.6,1.3,1984.18,0.385,-0.115,LOSS,10,2013-01-09
2012-12-24,KOSPI,BREAKOUT,SIDE,66.2,1.2,1992.1,0.738,0.238,WIN,10,2013-01-10
2012-12-26,KOSPI,BREAKOUT,SIDE,68.9,1.0,1979.46,0.869,0.369,WIN,10,2013-01-11
2012-12-27,KOSPI,BREAKOUT,SIDE,67.1,1.1,1984.84,1.118,0.618,WIN,10,2013-01-14
2012-12-28,KOSPI,BREAKOUT,SIDE,69.0,1.4,2013.74,-1.49,-1.99,LOSS,10,2013-01-15
2013-01-02,KOSPI,BREAKOUT,BULL,74.3,2.9,2041.24,-3.125,-3.625,LOSS,10,2013-01-16
2013-01-03,KOSPI,BREAKOUT,BULL,69.0,2.0,2017.88,-2.161,-2.661,LOSS,10,2013-01-17
2013-01-04,KOSPI,BREAKOUT,BULL,64.5,1.5,2012.15,-1.208,-1.708,LOSS,10,2013-01-18
2013-01-07,KOSPI,BREAKOUT,BULL,61.7,1.3,2003.22,-0.817,-1.317,LOSS,10,2013-01-21
2013-01-21,KOSDAQ,BREAKOUT,SIDE,72.1,2.5,515.71,-2.79,-3.29,LOSS,10,2013-02-04
2013-01-22,KOSDAQ,BREAKOUT,BULL,69.6,2.5,518.19,-4.0,-4.5,LOSS,10,2013-02-05
2013-01-23,KOSDAQ,BREAKOUT,SIDE,68.2,1.5,514.41,-2.304,-2.804,LOSS,10,2013-02-06
2013-02-15,KOSDAQ,BREAKOUT,BULL,61.7,1.5,516.62,4.018,3.518,WIN,10,2013-03-04
2013-02-18,KOSDAQ,BREAKOUT,BULL,70.8,2.2,519.41,4.727,4.227,WIN,10,2013-03-05
2013-02-19,KOSDAQ,BREAKOUT,BULL,73.0,2.9,524.74,3.739,3.239,WIN,10,2013-03-06
2013-02-20,KOSDAQ,BREAKOUT,BULL,80.2,3.5,525.09,3.087,2.587,WIN,10,2013-03-07
2013-02-21,KOSDAQ,BREAKOUT,BULL,77.1,3.1,525.85,3.28,2.78,WIN,10,2013-03-08
2013-02-22,KOSDAQ,BREAKOUT,BULL,79.9,3.7,531.3,1.72,1.22,WIN,10,2013-03-11
2013-02-25,KOSDAQ,BREAKOUT,BULL,81.7,3.2,525.59,3.48,2.98,WIN,10,2013-03-12
2013-02-26,KOSDAQ,BREAKOUT,BULL,88.9,3.3,531.98,3.337,2.837,WIN,10,2013-03-13
2013-02-27,KOSDAQ,BREAKOUT,SIDE,89.0,3.9,536.25,3.232,2.732,WIN,10,2013-03-14
2013-02-28,KOSDAQ,BREAKOUT,BULL,91.4,4.1,538.52,3.025,2.525,WIN,10,2013-03-15
2013-03-04,KOSPI,BREAKOUT,SIDE,70.0,1.6,2022.41,-2.681,-3.181,LOSS,10,2013-03-18
2013-03-04,KOSDAQ,BREAKOUT,SIDE,91.0,4.0,540.43,0.122,-0.378,LOSS,10,2013-03-18
2013-03-05,KOSPI,BREAKOUT,BULL,73.0,1.6,2033.17,-2.686,-3.186,LOSS,10,2013-03-19
2013-03-05,KOSDAQ,BREAKOUT,BULL,94.8,4.9,547.57,0.446,-0.054,LOSS,10,2013-03-19
2013-03-06,KOSPI,BREAKOUT,BULL,67.5,1.7,2018.63,-2.934,-3.434,LOSS,10,2013-03-20
2013-03-06,KOSDAQ,BREAKOUT,BULL,94.3,4.5,545.4,0.158,-0.342,LOSS,10,2013-03-20
2013-03-07,KOSDAQ,BREAKOUT,BULL,86.4,3.5,542.79,0.326,-0.174,LOSS,10,2013-03-21
2013-03-08,KOSDAQ,BREAKOUT,SIDE,86.3,3.4,544.28,1.281,0.781,WIN,10,2013-03-22
2013-03-11,KOSDAQ,BREAKOUT,SIDE,78.8,2.6,542.96,1.216,0.716,WIN,10,2013-03-25
2013-03-12,KOSDAQ,BREAKOUT,SIDE,78.5,2.8,545.96,0.722,0.222,WIN,10,2013-03-26
2013-03-13,KOSDAQ,BREAKOUT,SIDE,79.9,3.5,551.67,-0.535,-1.035,LOSS,10,2013-03-27
2013-03-14,KOSDAQ,BREAKOUT,SIDE,84.1,3.8,556.63,-0.717,-1.217,LOSS,10,2013-03-28
2013-03-15,KOSDAQ,BREAKOUT,SIDE,83.0,3.6,554.67,0.063,-0.437,LOSS,10,2013-03-29
2013-03-19,KOSDAQ,BREAKOUT,SIDE,67.8,2.1,551.67,0.21,-0.29,LOSS,10,2013-04-02
2013-03-20,KOSDAQ,BREAKOUT,BEAR,60.9,1.2,549.66,1.51,1.01,WIN,10,2013-04-03
2013-03-22,KOSDAQ,BREAKOUT,BEAR,60.9,1.7,554.33,-1.23,-1.73,LOSS,10,2013-04-05
2013-03-29,KOSDAQ,BREAKOUT,BULL,62.4,1.5,557.28,-4.0,-4.5,LOSS,6,2013-04-08
2013-04-16,KOSPI,BOTTOM_CATCH,SIDE,27.7,-1.8,1934.61,1.517,1.017,WIN,10,2013-04-30
2013-04-19,KOSPI,BOTTOM_CATCH,BEAR,24.0,-2.3,1903.97,3.021,2.521,WIN,10,2013-05-06
2013-04-26,KOSDAQ,BREAKOUT,BULL,72.4,2.7,567.59,-0.329,-0.829,LOSS,10,2013-05-13
2013-04-29,KOSDAQ,BREAKOUT,BULL,73.9,3.2,570.24,-1.713,-2.213,LOSS,10,2013-05-14
2013-04-30,KOSDAQ,BREAKOUT,BULL,67.7,2.2,564.51,0.202,-0.298,LOSS,10,2013-05-15
2013-05-02,KOSDAQ,BREAKOUT,BULL,60.7,1.6,563.87,0.388,-0.112,LOSS,10,2013-05-16
2013-05-03,KOSDAQ,BREAKOUT,BULL,61.7,2.4,568.82,-0.264,-0.764,LOSS,10,2013-05-20
2013-05-08,KOSDAQ,BREAKOUT,SIDE,61.8,3.4,579.0,-4.0,-4.5,LOSS,4,2013-05-14
2013-05-09,KOSDAQ,BREAKOUT,BULL,65.3,2.4,574.51,-0.078,-0.578,LOSS,10,2013-05-24
2013-05-10,KOSDAQ,BREAKOUT,SIDE,71.1,1.6,571.76,1.014,0.514,WIN,10,2013-05-27
2013-05-22,KOSDAQ,BREAKOUT,BULL,60.5,1.3,574.58,-4.0,-4.5,LOSS,10,2013-06-05
2013-05-28,KOSDAQ,BREAKOUT,BULL,61.1,2.8,588.39,-4.0,-4.5,LOSS,5,2013-06-04
2013-05-29,KOSPI,BREAKOUT,BULL,62.8,1.5,1999.83,-4.0,-4.5,LOSS,8,2013-06-11
2013-05-31,KOSPI,BREAKOUT,BULL,73.6,1.3,1993.11,-4.0,-4.5,LOSS,6,2013-06-11
2013-06-03,KOSPI,BREAKOUT,BULL,66.1,0.7,1998.38,-4.0,-4.5,LOSS,5,2013-06-11
2013-06-18,KOSPI,BOTTOM_CATCH,BEAR,26.6,-2.7,1899.5,-5.0,-5.5,LOSS,4,2013-06-24
2013-06-18,KOSDAQ,BOTTOM_CATCH,BEAR,23.0,-4.5,536.51,-5.0,-5.5,LOSS,3,2013-06-21
2013-06-26,KOSDAQ,BOTTOM_CATCH,BEAR,27.4,-8.7,501.06,2.91,2.41,WIN,10,2013-07-10
2013-08-07,KOSDAQ,BREAKOUT,SIDE,65.9,2.0,556.93,-4.0,-4.5,LOSS,9,2013-08-21
2013-08-08,KOSDAQ,BREAKOUT,SIDE,66.1,1.8,556.79,-4.0,-4.5,LOSS,8,2013-08-21
2013-08-09,KOSDAQ,BREAKOUT,BEAR,66.7,1.5,555.15,-4.0,-4.5,LOSS,7,2013-08-21
2013-08-14,KOSDAQ,BREAKOUT,BULL,60.5,0.4,544.77,-4.0,-4.5,LOSS,5,2013-08-22
2013-08-19,KOSDAQ,BREAKOUT,BULL,62.3,0.2,550.0,-4.0,-4.5,LOSS,2,2013-08-21
2013-08-23,KOSDAQ,BOTTOM_CATCH,BEAR,32.0,-3.2,532.43,-1.627,-2.127,LOSS,10,2013-09-06
2013-08-26,KOSDAQ,BOTTOM_CATCH,SIDE,31.7,-2.3,533.5,-2.322,-2.822,LOSS,10,2013-09-09
2013-08-30,KOSPI,BREAKOUT,BULL,61.3,1.6,1925.32,3.584,3.084,WIN,10,2013-09-13
2013-09-02,KOSPI,BREAKOUT,BULL,60.0,1.5,1934.24,4.091,3.591,WIN,10,2013-09-16
2013-09-06,KOSPI,BREAKOUT,BULL,60.1,2.6,1964.09,1.73,1.23,WIN,10,2013-09-25
2013-09-09,KOSPI,BREAKOUT,BULL,74.7,3.4,1978.08,1.478,0.978,WIN,10,2013-09-26
2013-09-10,KOSPI,BREAKOUT,BULL,86.3,4.1,1995.96,0.794,0.294,WIN,10,2013-09-27
2013-09-11,KOSPI,BREAKOUT,BULL,96.6,4.4,2004.67,-0.385,-0.885,LOSS,10,2013-09-30
2013-09-12,KOSPI,BREAKOUT,BULL,96.1,4.2,1994.95,0.196,-0.304,LOSS,10,2013-10-01
2013-09-13,KOSPI,BREAKOUT,BULL,88.8,3.5,2011.69,-0.607,-1.107,LOSS,10,2013-10-02
2013-09-16,KOSPI,BREAKOUT,BULL,91.4,4.2,2009.31,-0.614,-1.114,LOSS,10,2013-10-04
2013-09-17,KOSPI,BREAKOUT,BULL,87.7,3.5,2000.72,-0.315,-0.815,LOSS,10,2013-10-07
2013-09-23,KOSPI,BREAKOUT,BULL,86.0,3.3,2001.51,0.062,-0.438,LOSS,10,2013-10-08
2013-09-24,KOSPI,BREAKOUT,BULL,82.3,2.8,2004.53,-0.156,-0.656,LOSS,10,2013-10-10
2013-09-25,KOSPI,BREAKOUT,BULL,77.7,2.0,1992.1,1.647,1.147,WIN,10,2013-10-11
2013-09-26,KOSPI,BREAKOUT,SIDE,77.7,2.1,2012.26,0.398,-0.102,LOSS,10,2013-10-14
2013-09-27,KOSPI,BREAKOUT,BULL,78.8,2.0,2002.02,1.945,1.445,WIN,10,2013-10-15
2013-09-30,KOSPI,BREAKOUT,SIDE,67.1,1.0,1997.62,1.852,1.352,WIN,10,2013-10-16
2013-10-01,KOSPI,BREAKOUT,SIDE,66.6,0.8,2012.07,1.418,0.918,WIN,10,2013-10-17
2013-10-02,KOSPI,BREAKOUT,BULL,61.0,0.7,1999.92,2.624,2.124,WIN,10,2013-10-18
2013-10-15,KOSPI,BREAKOUT,BULL,64.9,1.7,2040.03,0.575,0.075,WIN,10,2013-10-29
2013-10-16,KOSPI,BREAKOUT,BULL,62.5,1.3,2051.19,0.409,-0.091,LOSS,10,2013-10-30
2013-10-17,KOSPI,BREAKOUT,BULL,69.9,1.5,2046.56,-0.805,-1.305,LOSS,10,2013-10-31
2013-10-18,KOSPI,BREAKOUT,BULL,70.6,2.0,2054.16,-0.718,-1.218,LOSS,10,2013-11-01
2013-10-21,KOSPI,BREAKOUT,BULL,69.5,1.9,2051.01,-1.26,-1.76,LOSS,10,2013-11-04
2013-10-22,KOSPI,BREAKOUT,BULL,81.5,1.9,2062.81,-2.37,-2.87,LOSS,10,2013-11-05
2013-10-23,KOSPI,BREAKOUT,BULL,66.4,0.8,2034.96,-1.046,-1.546,LOSS,10,2013-11-06
2013-10-24,KOSPI,BREAKOUT,BULL,69.2,1.3,2047.46,-2.121,-2.621,LOSS,10,2013-11-07
2013-10-25,KOSPI,BREAKOUT,SIDE,64.1,0.6,2037.28,-2.573,-3.073,LOSS,10,2013-11-08
