symbol,market,flow_mode,foreign_net_buy,institution_net_buy,individual_net_buy,program_net_buy,foreign_flow_score,institution_flow_score,program_flow_score,intraday_flow_score,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,volume_growth_pct,trading_value_growth_pct,execution_strength,orderbook_pressure,intraday_momentum_score,flow_data_available,flow_available,flow_data_source,flow_source,flow_source_label,flow_fetch_status,flow_failure_reason,kr_flow_attempted,kr_flow_success,kr_flow_error,kr_flow_failure_detail,kr_flow_endpoint_name,kr_flow_request_params,kr_flow_http_status,kr_flow_api_code,kr_flow_response_fields,kr_flow_response_row_count,kr_flow_parser_status,kr_flow_session_status,flow_updated_at,flow_warning
RGTI,미국주식,us_momentum,,,,,,,,65,26.43,19.9183,0.0,0.0,,,,0.0,65.0,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
QUBT,미국주식,us_momentum,,,,,,,,57,12.32,7.9755,0.0,0.0,,,,0.0,57.9755,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
GE,미국주식,us_momentum,,,,,,,,50,302.86,0.3645,0.0,0.0,,,,0.0,50.3645,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
KTOS,미국주식,us_momentum,,,,,,,,52,56.2,2.7986,0.0,0.0,,,,0.0,52.7986,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
AVAV,미국주식,us_momentum,,,,,,,,56,174.25,6.8428,0.0,0.0,,,,0.0,56.8428,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
ACHR,미국주식,us_momentum,,,,,,,,54,6.37,4.085,0.0,0.0,,,,0.0,54.085,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
JOBY,미국주식,us_momentum,,,,,,,,55,10.93,5.0962,0.0,0.0,,,,0.0,55.096199999999996,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
TMDX,미국주식,us_momentum,,,,,,,,50,68.96,0.1598,0.0,0.0,,,,0.0,50.1598,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
HIMS,미국주식,us_momentum,,,,,,,,48,23.76,-1.0412,0.0,0.0,,,,0.0,48.9588,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
TEM,미국주식,us_momentum,,,,,,,,49,46.19,-0.6453,0.0,0.0,,,,0.0,49.3547,True,True,finnhub_quote,finnhub_quote,finnhub_quote,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SPY,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
SMH,미국주식,us_momentum,,,,,,,,50,,0.0,0.0,0.0,,,,0.0,50.0,True,True,missing,missing,missing,success,,False,False,,,,,,,,0,,,2026-05-26 01:09:15,
005930,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""005930""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
000660,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""000660""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
042700,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""042700""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
007660,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""007660""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
403870,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""403870""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
058470,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""058470""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
095340,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""095340""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
067310,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""067310""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
036930,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""036930""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
000990,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""000990""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
009150,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""009150""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
011070,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""011070""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
267260,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""267260""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
010120,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""010120""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
298040,한국주식,kr_investor,,,,,50.0,50.0,50.0,50,,,,,,,,,,False,False,unsupported_safe,unsupported_safe,수급 미지원,kr_flow_market_closed,kr_flow_market_closed,False,False,market_closed,,inquire-investor,"{""FID_COND_MRKT_DIV_CODE"": ""J"", ""FID_INPUT_ISCD"": ""298040""}",,,,0,not_started,closed,2026-05-26 01:09:15,수급/프로그램 데이터 미지원 또는 미수신
